workbook_sheet,class_order_seed,method,dataset,workbook_cells,workbook_A_L,workbook_A_avg,expected_log_filename,protocol,candidate_log_paths,log_A_L,log_A_avg,log_status,workbook_log_comparison
seed42,42,CL-LoRA,CIFAR100,C14:D14,86.09,91.4,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/CL-LoRA/cifar224_vit_base_patch16_224_in21k_cllora_0_10_42.log,86.09,91.4,Complete,Match
seed42,42,CL-LoRA,CUB200,E14:F14,66.88,79.67,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),logs/第二轮A800/CL-LoRA/cub_vit_base_patch16_224_in21k_cllora_0_20_42.log,66.88,79.67,Complete,Match
seed42,42,CL-LoRA,ImageNet-R,G14:H14,81.25,85.76,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),logs/第二轮A800/CL-LoRA/imagenetr_vit_base_patch16_224_cllora_0_40_42.log,81.25,85.76,Complete,Match
seed42,42,CL-LoRA,OmniBenchmark,I14:J14,69.19,78.86,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),logs/第二轮A800/CL-LoRA/omnibenchmark_vit_base_patch16_224_in21k_cllora_0_30_42.log,69.19,78.86,Complete,Match
seed42,42,CL-LoRA,VTAB,K14:L14,,,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),logs/第二轮A800/CL-LoRA/vtab_vit_base_patch16_224_in21k_cllora_0_10_42.log,68.33,87.2,Complete,Workbook values missing; can be filled from log
seed42,42,iCaRL,CIFAR100,C17:D17,72.69,84.92,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/iCaRL/cifar224_vit_base_patch16_224_in21k_0_10_42.log,72.69,84.92,Complete,Match
seed42,42,iCaRL,CUB200,E17:F17,82.74,87.4,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),logs/第二轮A800/iCaRL/cub_vit_base_patch16_224_in21k_0_20_42.log,82.74,87.4,Complete,Match
seed42,42,iCaRL,ImageNet-R,G17:H17,,,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),,,,No matching log in method directory,Log is incomplete; cannot verify
seed42,42,iCaRL,OmniBenchmark,I17:J17,64.63,76.57,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),logs/第二轮A800/iCaRL/omnibenchmark_vit_base_patch16_224_in21k_0_30_42.log,64.63,76.57,Complete,Match
seed42,42,iCaRL,VTAB,K17:L17,,,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),,,,No matching log in method directory,Log is incomplete; cannot verify
seed42,42,FOSTER,CIFAR100,C18:D18,,,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/FOSTER/cifar224_vit_base_patch16_224_in21k_0_10_42.log,98.7,98.7,Incomplete: 1/10 tasks,Log is incomplete; cannot verify
seed42,42,FOSTER,CUB200,E18:F18,,,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),,,,No matching log in method directory,Log is incomplete; cannot verify
seed42,42,FOSTER,ImageNet-R,G18:H18,,,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),,,,No matching log in method directory,Log is incomplete; cannot verify
seed42,42,FOSTER,OmniBenchmark,I18:J18,,,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),,,,No matching log in method directory,Log is incomplete; cannot verify
seed42,42,FOSTER,VTAB,K18:L18,,,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1993,1993,Full Fine-Tuning,CIFAR100,C3:D3,66.13,76.96,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/Finetune/cifar224_vit_base_patch16_224_in21k_0_10_1993.log,66.13,76.96,Complete,Match
seed1993,1993,Full Fine-Tuning,CUB200,E3:F3,54.96,69.83,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),logs/第二轮A800/Finetune/cub_vit_base_patch16_224_in21k_0_20_1993.log,54.96,69.83,Complete,Match
seed1993,1993,Full Fine-Tuning,ImageNet-R,G3:H3,59.97,72.36,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),logs/第二轮A800/Finetune/imagenetr_vit_base_patch16_224_in21k_0_40_1993.log,59.97,72.36,Complete,Match
seed1993,1993,Full Fine-Tuning,OmniBenchmark,I3:J3,47.95,66.03,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),logs/第二轮A800/Finetune/omnibenchmark_vit_base_patch16_224_in21k_0_30_1993.log,47.95,66.03,Complete,Match
seed1993,1993,Full Fine-Tuning,VTAB,K3:L3,54.54,78.67,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/Finetune/vtab_vit_base_patch16_224_in21k_0_10_1993.log,54.54,78.67,Complete,Match
seed1993,1993,SimpleCIL,CIFAR100,C4:D4,81.28,87.14,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/SimpleCIL/cifar224_vit_b16_224_in21k_0_10_1993.log,81.28,87.14,Complete,Match
seed1993,1993,SimpleCIL,CUB200,E4:F4,86.77,91.85,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),logs/第二轮A800/SimpleCIL/cub_vit_b16_224_in21k_0_20_1993.log,86.77,91.85,Complete,Match
seed1993,1993,SimpleCIL,ImageNet-R,G4:H4,54.35,59.76,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),logs/第二轮A800/SimpleCIL/imagenetr_vit_b16_224_in21k_0_40_1993.log,54.35,59.76,Complete,Match
seed1993,1993,SimpleCIL,OmniBenchmark,I4:J4,73.3,79.34,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),logs/第二轮A800/SimpleCIL/omnibenchmark_vit_b16_224_in21k_0_30_1993.log,73.3,79.34,Complete,Match
seed1993,1993,SimpleCIL,VTAB,K4:L4,84.45,90.8,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/SimpleCIL/vtab_vit_b16_224_in21k_0_10_1993.log,84.45,90.8,Complete,Match
seed1993,1993,APER,CIFAR100,C5:D5,87.52,92.25,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/adam_adapter/cifar224_vit_b16_224_in21k_adapter_0_10_1993.log,87.52,92.25,Complete,Match
seed1993,1993,APER,CUB200,E5:F5,87.11,92.09,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),logs/第二轮A800/adam_adapter/cub_vit_b16_224_in21k_adapter_0_20_1993.log,87.11,92.09,Complete,Match
seed1993,1993,APER,ImageNet-R,G5:H5,67.87,75.24,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),logs/第二轮A800/adam_adapter/imagenetr_vit_b16_224_in21k_adapter_0_40_1993.log,67.87,75.24,Complete,Match
seed1993,1993,APER,OmniBenchmark,I5:J5,74.34,80.73,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),logs/第二轮A800/adam_adapter/omnibenchmark_vit_b16_224_in21k_adapter_0_30_1993.log,74.34,80.73,Complete,Match
seed1993,1993,APER,VTAB,K5:L5,84.48,90.81,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/adam_adapter/vtab_vit_b16_224_in21k_adapter_0_10_1993.log,84.48,90.81,Complete,Match
seed1993,1993,L2P,CIFAR100,C6:D6,85.13,89.77,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/L2P/cifar224_vit_base_patch16_224_in21k_l2p_0_10_1993.log,85.13,89.77,Complete,Match
seed1993,1993,L2P,CUB200,E6:F6,72.05,81.83,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),logs/第二轮A800/L2P/cub_vit_base_patch16_224_in21k_l2p_0_20_1993.log,72.05,81.83,Complete,Match
seed1993,1993,L2P,ImageNet-R,G6:H6,72.07,76.73,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),logs/第二轮A800/L2P/imagenetr_vit_base_patch16_224_in21k_l2p_0_40_1993.log,72.07,76.73,Complete,Match
seed1993,1993,L2P,OmniBenchmark,I6:J6,64.44,74.1,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),logs/第二轮A800/L2P/omnibenchmark_vit_base_patch16_224_in21k_l2p_0_30_1993.log,64.44,74.1,Complete,Match
seed1993,1993,L2P,VTAB,K6:L6,64.29,81.7,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/L2P/vtab_vit_base_patch16_224_in21k_l2p_0_10_1993.log,64.29,81.7,Complete,Match
seed1993,1993,DualPrompt,CIFAR100,C7:D7,85.33,90.34,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/DualPrompt/cifar224_vit_base_patch16_224_in21k_dualprompt_0_10_1993.log,85.33,90.34,Complete,Match
seed1993,1993,DualPrompt,CUB200,E7:F7,74.3,84.82,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),logs/第二轮A800/DualPrompt/cub_vit_base_patch16_224_in21k_dualprompt_0_20_1993.log,74.3,84.82,Complete,Match
seed1993,1993,DualPrompt,ImageNet-R,G7:H7,69.43,73.61,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),logs/第二轮A800/DualPrompt/imagenetr_vit_base_patch16_224_in21k_dualprompt_0_40_1993.log,69.43,73.61,Complete,Match
seed1993,1993,DualPrompt,OmniBenchmark,I7:J7,66.07,74.92,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),logs/第二轮A800/DualPrompt/omnibenchmark_vit_base_patch16_224_in21k_dualprompt_0_30_1993.log,66.07,74.92,Complete,Match
seed1993,1993,DualPrompt,VTAB,K7:L7,79.05,89.9,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/DualPrompt/vtab_vit_base_patch16_224_in21k_dualprompt_0_10_1993.log,79.05,89.9,Complete,Match
seed1993,1993,CODA-Prompt,CIFAR100,C8:D8,86.55,91.4,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/CODA-Prompt/cifar224_vit_base_patch16_224_in21k_coda_prompt_0_10_1993.log,86.55,91.4,Complete,Match
seed1993,1993,CODA-Prompt,CUB200,E8:F8,75.57,84.58,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),logs/第二轮A800/CODA-Prompt/cub_vit_base_patch16_224_in21k_coda_prompt_0_20_1993.log,75.57,84.58,Complete,Match
seed1993,1993,CODA-Prompt,ImageNet-R,G8:H8,75.08,80.46,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),logs/第二轮A800/CODA-Prompt/imagenetr_vit_base_patch16_224_in21k_coda_prompt_0_40_1993.log,75.08,80.46,Complete,Match
seed1993,1993,CODA-Prompt,OmniBenchmark,I8:J8,68.49,77.55,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),logs/第二轮A800/CODA-Prompt/omnibenchmark_vit_base_patch16_224_in21k_coda_prompt_0_30_1993.log,68.49,77.55,Complete,Match
seed1993,1993,CODA-Prompt,VTAB,K8:L8,75.46,87.23,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/CODA-Prompt/vtab_vit_base_patch16_224_in21k_coda_prompt_0_10_1993.log,75.46,87.23,Complete,Match
seed1993,1993,LAE,CIFAR100,C9:D9,85.47,91.35,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/LAE/cifar224_vit_base_patch16_224_in21k_lae_0_10_1993.log,85.47,91.35,Complete,Match
seed1993,1993,LAE,CUB200,E9:F9,67.94,80.2,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),logs/第二轮A800/LAE/cub_vit_base_patch16_224_in21k_lae_0_20_1993.log,67.94,80.2,Complete,Match
seed1993,1993,LAE,ImageNet-R,G9:H9,,,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1993,1993,LAE,OmniBenchmark,I9:J9,66.1,74.91,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),logs/第二轮A800/LAE/omnibenchmark_vit_base_patch16_224_in21k_lae_0_30_1993.log,66.1,74.91,Complete,Match
seed1993,1993,LAE,VTAB,K9:L9,70.24,85.62,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/LAE/vtab_vit_base_patch16_224_in21k_lae_0_10_1993.log,70.24,85.62,Complete,Match
seed1993,1993,InfLoRA,CIFAR100,C10:D10,86.27,91.72,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/InfLoRA/cifar224_vit_base_patch16_224_in21k_inflora_0_10_1993.log,86.27,91.72,Complete,Match
seed1993,1993,InfLoRA,CUB200,E10:F10,,,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1993,1993,InfLoRA,ImageNet-R,G10:H10,78.22,83.33,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),logs/第二轮A800/InfLoRA/ImageNet_R_vit_base_patch16_224_in21k_inflora_0_40_1993.log,78.22,83.33,Complete,Match
seed1993,1993,InfLoRA,OmniBenchmark,I10:J10,68.69,77.46,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),logs/第二轮A800/InfLoRA/omnibenchmark_vit_base_patch16_224_in21k_inflora_0_30_1993.log,68.69,77.46,Complete,Match
seed1993,1993,InfLoRA,VTAB,K10:L10,78.58,88.37,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/InfLoRA/vtab_vit_base_patch16_224_in21k_inflora_0_10_1993.log,78.58,88.37,Complete,Match
seed1993,1993,EASE,CIFAR100,C11:D11,88.13,92.59,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/EASE/cifar224_vit_base_patch16_224_in21k_ease_0_10_1993.log,88.13,92.59,Complete,Match
seed1993,1993,EASE,CUB200,E11:F11,86.09,91.13,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),logs/第二轮A800/EASE/cub_vit_base_patch16_224_in21k_ease_0_20_1993.log,86.09,91.13,Complete,Match
seed1993,1993,EASE,ImageNet-R,G11:H11,77.1,81.65,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),logs/第二轮A800/EASE/imagenetr_vit_base_patch16_224_in21k_ease_0_40_1993.log,77.1,81.65,Complete,Match
seed1993,1993,EASE,OmniBenchmark,I11:J11,74.7,80.95,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),logs/第二轮A800/EASE/omnibenchmark_vit_base_patch16_224_in21k_ease_0_30_1993.log,74.7,80.95,Complete,Match
seed1993,1993,EASE,VTAB,K11:L11,84.38,92.11,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/EASE/vtab_vit_base_patch16_224_in21k_ease_0_10_1993.log,84.38,92.11,Complete,Match
seed1993,1993,BiLoRA,CIFAR100,C12:D12,85.19,90.7,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/BiLoRA/cifar224_vit_base_patch16_224_in21k_bilora_0_10_1993.log,85.19,90.7,Complete,Match
seed1993,1993,BiLoRA,CUB200,E12:F12,73.83,83.62,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),logs/第二轮A800/BiLoRA/cub_vit_base_patch16_224_in21k_bilora_0_20_1993.log,73.83,83.62,Complete,Match
seed1993,1993,BiLoRA,ImageNet-R,G12:H12,76.23,81.22,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),logs/第二轮A800/BiLoRA/imagenet_r_vit_base_patch16_224_in21k_bilora_0_40_1993.log,76.23,81.22,Complete,Match
seed1993,1993,BiLoRA,OmniBenchmark,I12:J12,68.87,77.53,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1993,1993,BiLoRA,VTAB,K12:L12,,,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1993,1993,SD-LoRA,CIFAR100,C13:D13,87.58,91.84,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/SD-LoRA-IN21K/cifar224_vit_base_patch16_224_in21k_sdlora_0_10_1993.log,87.58,91.84,Complete,Match
seed1993,1993,SD-LoRA,CUB200,E13:F13,76.51,86.25,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),logs/第二轮A800/SD-LoRA-IN21K/cub_vit_base_patch16_224_in21k_sdlora_0_20_1993.log,76.51,86.25,Complete,Match
seed1993,1993,SD-LoRA,ImageNet-R,G13:H13,76.42,81.85,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),logs/第二轮A800/SD-LoRA-IN21K/imagenetr_vit_base_patch16_224_in21k_sdlora_0_40_1993.log,76.42,81.85,Complete,Match
seed1993,1993,SD-LoRA,OmniBenchmark,I13:J13,70.08,78.26,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),logs/第二轮A800/SD-LoRA-IN21K/omnibenchmark_vit_base_patch16_224_in21k_sdlora_0_30_1993.log,70.08,78.26,Complete,Match
seed1993,1993,SD-LoRA,VTAB,K13:L13,73.89,85.56,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/SD-LoRA-IN21K/vtab_vit_base_patch16_224_in21k_sdlora_0_10_1993.log,73.89,85.56,Complete,Match
seed1993,1993,CL-LoRA,CIFAR100,C14:D14,88.07,92.26,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/CL-LoRA/cifar224_vit_base_patch16_224_in21k_cllora_0_10_1993.log,88.07,92.26,Complete,Match
seed1993,1993,CL-LoRA,CUB200,E14:F14,71.76,82.92,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),logs/第二轮A800/CL-LoRA/cub_vit_base_patch16_224_in21k_cllora_0_20_1993.log,71.76,82.92,Complete,Match
seed1993,1993,CL-LoRA,ImageNet-R,G14:H14,82.15,86.55,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),logs/第二轮A800/CL-LoRA/imagenetr_vit_base_patch16_224_cllora_0_40_1993.log,82.15,86.55,Complete,Match
seed1993,1993,CL-LoRA,OmniBenchmark,I14:J14,67.74,75.65,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),logs/第二轮A800/CL-LoRA/omnibenchmark_vit_base_patch16_224_in21k_cllora_0_30_1993.log,67.74,75.65,Complete,Match
seed1993,1993,CL-LoRA,VTAB,K14:L14,80.29,89.65,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/CL-LoRA/vtab_vit_base_patch16_224_in21k_cllora_0_10_1993.log,80.29,89.65,Complete,Match
seed1993,1993,iCaRL,CIFAR100,C17:D17,72.52,85.64,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),logs/第二轮A800/iCaRL/cifar224_vit_base_patch16_224_in21k_0_10_1993.log,72.52,85.64,Complete,Match
seed1993,1993,iCaRL,CUB200,E17:F17,81.51,88.46,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),logs/第二轮A800/iCaRL/cub_vit_base_patch16_224_in21k_0_20_1993.log,81.51,88.46,Complete,Match
seed1993,1993,iCaRL,ImageNet-R,G17:H17,,,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1993,1993,iCaRL,OmniBenchmark,I17:J17,63.79,74.63,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),logs/第二轮A800/iCaRL/omnibenchmark_vit_base_patch16_224_in21k_0_30_1993.log,63.79,74.63,Complete,Match
seed1993,1993,iCaRL,VTAB,K17:L17,,,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1993,1993,FOSTER,CIFAR100,C18:D18,,,cifar224|0_10_1993.log,T=10; B0/Inc10 (filename _0_10_1993),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1993,1993,FOSTER,CUB200,E18:F18,,,cub|0_20_1993.log,T=10; B0/Inc20 (filename _0_20_1993),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1993,1993,FOSTER,ImageNet-R,G18:H18,,,imagenetr/imagenet_r|0_40_1993.log,T=5; B0/Inc40 (filename _0_40_1993),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1993,1993,FOSTER,OmniBenchmark,I18:J18,,,omnibenchmark|0_30_1993.log,T=10; B0/Inc30 (filename _0_30_1993),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1993,1993,FOSTER,VTAB,K18:L18,,,vtab|0_10_1993.log,T=5; B0/Inc10 (filename _0_10_1993),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1994,1994,Full Fine-Tuning,CIFAR100,C3:D3,66.08,79.6,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/Finetune/cifar224_vit_base_patch16_224_in21k_0_10_1994.log,66.08,79.6,Complete,Match
seed1994,1994,Full Fine-Tuning,CUB200,E3:F3,58.31,71.58,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),logs/第二轮A800/Finetune/cub_vit_base_patch16_224_in21k_0_20_1994.log,58.31,71.58,Complete,Match
seed1994,1994,Full Fine-Tuning,ImageNet-R,G3:H3,59.2,71.21,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),logs/第二轮A800/Finetune/imagenetr_vit_base_patch16_224_in21k_0_40_1994.log,59.2,71.21,Complete,Match
seed1994,1994,Full Fine-Tuning,OmniBenchmark,I3:J3,49.56,68.26,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),logs/第二轮A800/Finetune/omnibenchmark_vit_base_patch16_224_in21k_0_30_1994.log,49.56,68.26,Complete,Match
seed1994,1994,Full Fine-Tuning,VTAB,K3:L3,46.2,68.02,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/Finetune/vtab_vit_base_patch16_224_in21k_0_10_1994.log,46.2,68.02,Complete,Match
seed1994,1994,SimpleCIL,CIFAR100,C4:D4,81.28,86.17,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/SimpleCIL/cifar224_vit_b16_224_in21k_0_10_1994.log,81.28,86.17,Complete,Match
seed1994,1994,SimpleCIL,CUB200,E4:F4,86.77,91.11,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),logs/第二轮A800/SimpleCIL/cub_vit_b16_224_in21k_0_20_1994.log,86.77,91.11,Complete,Match
seed1994,1994,SimpleCIL,ImageNet-R,G4:H4,54.35,60.33,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),logs/第二轮A800/SimpleCIL/imagenetr_vit_b16_224_in21k_0_40_1994.log,54.35,60.33,Complete,Match
seed1994,1994,SimpleCIL,OmniBenchmark,I4:J4,73.3,80.79,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),logs/第二轮A800/SimpleCIL/omnibenchmark_vit_b16_224_in21k_0_30_1994.log,73.3,80.79,Complete,Match
seed1994,1994,SimpleCIL,VTAB,K4:L4,84.45,90.46,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/SimpleCIL/vtab_vit_b16_224_in21k_0_10_1994.log,84.45,90.46,Complete,Match
seed1994,1994,APER,CIFAR100,C5:D5,88.25,92.36,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/adam_adapter/cifar224_vit_b16_224_in21k_adapter_0_10_1994.log,88.25,92.36,Complete,Match
seed1994,1994,APER,CUB200,E5:F5,87.07,91.01,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),logs/第二轮A800/adam_adapter/cub_vit_b16_224_in21k_adapter_0_20_1994.log,87.07,91.01,Complete,Match
seed1994,1994,APER,ImageNet-R,G5:H5,67.97,75.7,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),logs/第二轮A800/adam_adapter/imagenetr_vit_b16_224_in21k_adapter_0_40_1994.log,67.97,75.7,Complete,Match
seed1994,1994,APER,OmniBenchmark,I5:J5,74,81.39,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),logs/第二轮A800/adam_adapter/omnibenchmark_vit_b16_224_in21k_adapter_0_30_1994.log,74.0,81.39,Complete,Match
seed1994,1994,APER,VTAB,K5:L5,84.48,90.49,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/adam_adapter/vtab_vit_b16_224_in21k_adapter_0_10_1994.log,84.48,90.49,Complete,Match
seed1994,1994,L2P,CIFAR100,C6:D6,85.27,89.89,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/L2P/cifar224_vit_base_patch16_224_in21k_l2p_0_10_1994.log,85.27,89.89,Complete,Match
seed1994,1994,L2P,CUB200,E6:F6,71.63,81.52,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),logs/第二轮A800/L2P/cub_vit_base_patch16_224_in21k_l2p_0_20_1994.log,71.63,81.52,Complete,Match
seed1994,1994,L2P,ImageNet-R,G6:H6,71.9,75.33,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),logs/第二轮A800/L2P/imagenetr_vit_base_patch16_224_in21k_l2p_0_40_1994.log,71.9,75.33,Complete,Match
seed1994,1994,L2P,OmniBenchmark,I6:J6,66.05,76.77,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),logs/第二轮A800/L2P/omnibenchmark_vit_base_patch16_224_in21k_l2p_0_30_1994.log,66.05,76.77,Complete,Match
seed1994,1994,L2P,VTAB,K6:L6,67.37,76.33,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/L2P/vtab_vit_base_patch16_224_in21k_l2p_0_10_1994.log,67.37,76.33,Complete,Match
seed1994,1994,DualPrompt,CIFAR100,C7:D7,85.39,89.75,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/DualPrompt/cifar224_vit_base_patch16_224_in21k_dualprompt_0_10_1994.log,85.39,89.75,Complete,Match
seed1994,1994,DualPrompt,CUB200,E7:F7,75.11,84.3,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),logs/第二轮A800/DualPrompt/cub_vit_base_patch16_224_in21k_dualprompt_0_20_1994.log,75.11,84.3,Complete,Match
